x,y
163,110
31,89
30,68
59,66
41,12
62,12
113,62
143,60
383,60
390,60
396,62
402,63
405,64
409,65
413,66
418,69
421,72
424,73
426,75
428,77
431,82
434,86
434,90
432,94
429,97
427,99
423,101
419,103
415,105
410,107
404,108
400,109
396,109
390,110
385,110
163,110
