alpha,Ms
-42.0,0.9747854699625895
-41.9,0.9758688566131993
-41.8,0.97691108460323
-41.7,0.9779123418861906
-41.6,0.9788728163993959
-41.5,0.979792696063966
-41.4,0.9806721688334105
-41.3,0.9815114226612378
-41.2,0.9823106454523741
-41.1,0.9830700251765232
-41.0,0.9837897497548048
-40.9,0.9844700071245337
-40.8,0.9851109852392191
-40.7,0.985712872036176
-40.6,0.9862758554527183
-40.5,0.9868001234099669
-40.4,0.9872858638614306
-40.3,0.9877332647606186
-40.2,0.9881425140124568
-40.1,0.9885137995866483
-40.0,0.988847309404314
-39.9,0.9891432314189627
-39.8,0.9894017535679086
-39.7,0.9896230637722726
-39.6,0.9898073499855634
-39.5,0.9899548001450962
-39.4,0.9900656021881851
-39.3,0.9901399440521449
-39.2,0.9901780136742904
-39.1,0.9901799990081306
-39.0,0.9901460879747859
-38.9,0.9900764685277652
-38.8,0.9899713286043834
-38.7,0.9898308561257603
-38.6,0.9896552390454054
-38.5,0.9894446653168277
-38.4,0.9891993228449532
-38.3,0.988919399599485
-38.2,0.9886050835015437
-38.1,0.9882565624884438
-38.0,0.9878740245136944
-37.9,0.9874576575146103
-37.8,0.9870076494123116
-37.7,0.9865241881765019
-37.6,0.9860074617121071
-37.5,0.985457657972636
-37.4,0.984874964911598
-37.3,0.9842595704501134
-37.2,0.9836116625254963
-37.1,0.9829314290912565
-37.0,0.9822190580685138
-36.9,0.9814747374107776
-36.8,0.9806986550715568
-36.7,0.9798909989557772
-36.6,0.9790519570169482
-36.5,0.9781817171923838
-36.4,0.9772804674193992
-36.3,0.9763483956515038
-36.2,0.9753856898260116
-36.1,0.9743925378640429
-36.0,0.9733691277029126
-35.9,0.9723156473123246
-35.8,0.971232284597204
-35.7,0.9701192275272547
-35.6,0.9689766640074025
-35.5,0.9678047820073508
-35.4,0.96660376944822
-35.3,0.9653738142835192
-35.2,0.9641151044343684
-35.1,0.9628278278542769
-35.0,0.9615121724643649
-34.9,0.960168326234336
-34.8,0.9587964770691161
-34.7,0.9573968129384082
-34.6,0.9559695217633333
-34.5,0.9545147914812057
-34.4,0.9530328100293396
-34.3,0.9515237653774393
-34.2,0.9499878454142358
-34.1,0.9484252381256272
-34.0,0.9468361314165393
-33.9,0.945220713240481
-33.8,0.9435791715509616
-33.7,0.9419116942529067
-33.6,0.9402184693160202
-33.5,0.9384996846614221
-33.4,0.9367555282426214
-33.3,0.9349861879807384
-33.2,0.9331918518292825
-33.1,0.931372707725568
-33.0,0.9295289436069096
-32.9,0.9276607474106221
-32.8,0.9257683070740202
-32.7,0.9238518105344186
-32.6,0.9219114457291316
-32.5,0.9199474006116688
-32.4,0.9179598631193447
-32.3,0.9159490211732794
-32.2,0.9139150627269822
-32.1,0.9118581757177674
-32.0,0.90977854808295
-31.9,0.9076763677598447
-31.8,0.9055518226857662
-31.7,0.9034051008142231
-31.6,0.9012363900663363
-31.5,0.8990458783794201
-31.4,0.8968337537231782
-31.3,0.8946002040025361
-31.2,0.8923454171548089
-31.1,0.8900695811496998
-31.0,0.8877728839083294
-30.9,0.8854555133680119
-30.8,0.8831176574822566
-30.7,0.8807595041559894
-30.6,0.8783812413589137
-30.5,0.8759830570283443
-30.4,0.8735651391015958
-30.3,0.8711276754997884
-30.2,0.868670854192626
-30.1,0.8661948630850338
-30.0,0.8636998901467158
-29.9,0.8611861232825972
-29.8,0.8586537504623823
-29.7,0.8561029596233856
-29.6,0.8535339386867269
-29.5,0.8509468756059158
-29.4,0.8483419583182664
-29.3,0.8457193747448996
-29.2,0.8430793128555183
-29.1,0.8404219605712434
-29.0,0.8377475058293891
-28.9,0.83505613656727
-28.8,0.8323480407383956
-28.7,0.8296234062638859
-28.6,0.8268824210972501
-28.5,0.8241252731758026
-28.4,0.821352150420664
-28.3,0.8185632408015375
-28.2,0.8157587322233493
-28.1,0.8129388126558026
-28.0,0.8101036700200178
-27.9,0.8072534922695039
-27.8,0.8043884673253812
-27.7,0.8015087831249643
-27.6,0.798614627637957
-27.5,0.7957061887692848
-27.4,0.7927836544724568
-27.3,0.789847212684788
-27.2,0.7868970513435926
-27.1,0.78393335840238
-27.0,0.7809563217822705
-26.9,0.7779661294205785
-26.8,0.7749629692870079
-26.7,0.7719470292702896
-26.6,0.768918497356322
-26.5,0.7658775614500306
-26.4,0.7628244095211192
-26.3,0.7597592294745134
-26.2,0.7566822092799168
-26.1,0.7535935368584498
-26.0,0.7504934001636212
-25.9,0.7473819871165515
-25.8,0.7442594856707495
-25.7,0.7411260837635302
-25.6,0.7379819693160136
-25.5,0.7348273302979034
-25.4,0.7316623546141252
-25.3,0.7284872302343828
-25.2,0.7253021450797963
-25.1,0.7221072870876802
-25.0,0.7189028442115439
-24.9,0.7156890043887022
-24.8,0.7124659555402747
-24.7,0.7092338856359656
-24.6,0.7059929825807002
-24.5,0.7027434343279879
-24.4,0.6994854288151433
-24.3,0.6962191539956756
-24.2,0.6929447977907048
-24.1,0.6896625481537403
-24.0,0.6863725930059019
-23.9,0.6830751202845048
-23.8,0.6797703179592521
-23.7,0.6764583739512644
-23.6,0.6731394761816616
-23.5,0.6698138126201475
-23.4,0.6664815711878422
-23.3,0.6631429398220603
-23.2,0.6597981064763111
-23.1,0.6564472590717148
-23.0,0.6530905855617802
-22.9,0.6497282738838224
-22.8,0.6463605119751559
-22.7,0.6429874877569007
-22.6,0.6396093891987608
-22.5,0.6362264042218562
-22.4,0.6328387207635013
-22.3,0.6294465267772056
-22.2,0.6260500101840892
-22.1,0.6226493589376612
